,Date,Open,High,Low,Close,Volume,news_count,news_titles,news_links
0,2024-01-02 16:00:00,187.728,188.034,185.994,186.494,0,0,,
1,2024-01-02 17:00:00,186.464,186.944,185.162,185.878,0,0,,
2,2024-01-02 18:00:00,185.863,187.338,185.854,186.722,0,0,,
3,2024-01-02 19:00:00,186.733,187.028,185.82,185.853,0,0,,
4,2024-01-02 20:00:00,185.863,185.934,184.732,184.888,0,0,,
5,2024-01-02 21:00:00,184.893,184.963,184.002,184.026,0,0,,
6,2024-01-02 22:00:00,184.024,185.438,183.87,185.42,0,0,,
7,2024-01-02 23:00:00,,,,,0,0,,
8,2024-01-03 00:00:00,,,,,0,0,,
9,2024-01-03 01:00:00,,,,,0,0,,
10,2024-01-03 02:00:00,,,,,0,0,,
11,2024-01-03 03:00:00,,,,,0,0,,
12,2024-01-03 04:00:00,,,,,0,0,,
13,2024-01-03 05:00:00,,,,,0,0,,
14,2024-01-03 06:00:00,,,,,0,0,,
15,2024-01-03 07:00:00,,,,,0,0,,
16,2024-01-03 08:00:00,,,,,0,0,,
17,2024-01-03 09:00:00,,,,,0,0,,
18,2024-01-03 10:00:00,,,,,0,0,,
19,2024-01-03 11:00:00,,,,,0,0,,
20,2024-01-03 12:00:00,,,,,0,0,,
21,2024-01-03 13:00:00,,,,,0,0,,
22,2024-01-03 14:00:00,,,,,0,0,,
23,2024-01-03 15:00:00,,,,,0,0,,
24,2024-01-03 16:00:00,185.607,185.847,184.596,184.757,0,0,,
25,2024-01-03 17:00:00,184.747,185.167,183.436,183.836,0,0,,
26,2024-01-03 18:00:00,183.845,184.357,183.477,183.485,0,0,,
27,2024-01-03 19:00:00,183.487,184.361,183.416,184.326,0,0,,
28,2024-01-03 20:00:00,184.316,184.537,184.156,184.317,0,0,,
29,2024-01-03 21:00:00,184.347,184.907,183.786,184.627,0,0,,
30,2024-01-03 22:00:00,184.637,184.696,183.977,184.016,0,0,,
31,2024-01-03 23:00:00,,,,,0,0,,
32,2024-01-04 00:00:00,,,,,0,0,,
33,2024-01-04 01:00:00,,,,,0,0,,
34,2024-01-04 02:00:00,,,,,0,0,,
35,2024-01-04 03:00:00,,,,,0,0,,
36,2024-01-04 04:00:00,,,,,0,0,,
37,2024-01-04 05:00:00,,,,,0,0,,
38,2024-01-04 06:00:00,,,,,0,0,,
39,2024-01-04 07:00:00,,,,,0,0,,
40,2024-01-04 08:00:00,,,,,0,0,,
41,2024-01-04 09:00:00,,,,,0,0,,
42,2024-01-04 10:00:00,,,,,0,0,,
43,2024-01-04 11:00:00,,,,,0,0,,
44,2024-01-04 12:00:00,,,,,0,0,,
45,2024-01-04 13:00:00,,,,,0,0,,
46,2024-01-04 14:00:00,,,,,0,0,,
47,2024-01-04 15:00:00,,,,,0,0,,
48,2024-01-04 16:00:00,182.769,183.069,181.209,181.451,0,0,,
49,2024-01-04 17:00:00,181.479,182.121,180.871,181.461,0,0,,
50,2024-01-04 18:00:00,181.47,182.429,181.297,181.429,0,0,,
51,2024-01-04 19:00:00,181.42,182.379,181.411,182.218,0,0,,
52,2024-01-04 20:00:00,182.209,183.059,182.158,182.758,0,0,,
53,2024-01-04 21:00:00,182.731,182.949,182.248,182.29,0,0,,
54,2024-01-04 22:00:00,182.298,182.539,181.531,181.728,0,0,,
55,2024-01-04 23:00:00,,,,,0,0,,
56,2024-01-05 00:00:00,,,,,0,0,,
57,2024-01-05 01:00:00,,,,,0,0,,
58,2024-01-05 02:00:00,,,,,0,0,,
59,2024-01-05 03:00:00,,,,,0,0,,
60,2024-01-05 04:00:00,,,,,0,0,,
61,2024-01-05 05:00:00,,,,,0,0,,
62,2024-01-05 06:00:00,,,,,0,0,,
63,2024-01-05 07:00:00,,,,,0,0,,
64,2024-01-05 08:00:00,,,,,0,0,,
65,2024-01-05 09:00:00,,,,,0,0,,
66,2024-01-05 10:00:00,,,,,0,0,,
67,2024-01-05 11:00:00,,,,,0,0,,
68,2024-01-05 12:00:00,,,,,0,0,,
69,2024-01-05 13:00:00,,,,,0,0,,
70,2024-01-05 14:00:00,,,,,0,0,,
71,2024-01-05 15:00:00,,,,,0,0,,
72,2024-01-05 16:00:00,182.47,182.731,181.5,181.651,0,0,,
73,2024-01-05 17:00:00,181.771,182.631,181.71,182.631,0,0,,
74,2024-01-05 18:00:00,182.66,182.711,181.89,182.08,0,0,,
75,2024-01-05 19:00:00,182.081,182.196,181.28,181.571,0,0,,
76,2024-01-05 20:00:00,181.571,182.206,181.19,182.011,0,0,,
77,2024-01-05 21:00:00,182.011,182.166,180.45,180.461,0,0,,
78,2024-01-05 22:00:00,180.45,181.106,180.166,181.106,0,0,,
79,2024-01-05 23:00:00,,,,,0,0,,
80,2024-01-06 00:00:00,,,,,0,0,,
81,2024-01-06 01:00:00,,,,,0,0,,
82,2024-01-06 02:00:00,,,,,0,0,,
83,2024-01-06 03:00:00,,,,,0,0,,
84,2024-01-06 04:00:00,,,,,0,0,,
85,2024-01-06 05:00:00,,,,,0,0,,
86,2024-01-06 06:00:00,,,,,0,0,,
87,2024-01-06 07:00:00,,,,,0,0,,
88,2024-01-06 08:00:00,,,,,0,0,,
89,2024-01-06 09:00:00,,,,,0,0,,
90,2024-01-06 10:00:00,,,,,0,0,,
91,2024-01-06 11:00:00,,,,,0,0,,
92,2024-01-06 12:00:00,,,,,0,0,,
93,2024-01-06 13:00:00,,,,,0,0,,
94,2024-01-06 14:00:00,,,,,0,0,,
95,2024-01-06 15:00:00,,,,,0,0,,
96,2024-01-06 16:00:00,,,,,0,0,,
97,2024-01-06 17:00:00,,,,,0,0,,
98,2024-01-06 18:00:00,,,,,0,0,,
99,2024-01-06 19:00:00,,,,,0,0,,
